City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Sola,VU,82.67,scattered clouds,-13.8833,167.55,Leumerus Bungalows
193,Lisala,CD,79.63,overcast clouds,2.15,21.5167,Flat hôtel tozelaka
199,Harper,LR,85.26,overcast clouds,4.375,-7.7169,Screensaver
202,Nago,JP,72.45,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
203,Namatanai,PG,81.52,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
205,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
207,Buchanan,LR,80.82,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
212,Itarema,BR,76.84,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
213,Vila Velha,BR,70.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
214,Lorengau,PG,82.53,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
217,Iquitos,PE,73.44,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
220,Kattivakkam,IN,95.09,overcast clouds,13.2167,80.3167,Euronova Freezer
223,Luanda,AO,81.57,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
224,Nola,IT,74.39,overcast clouds,40.922,14.5329,Palazzo Giordano Bruno
225,Mareeba,AU,73.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
227,Saint George,US,65.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
228,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
231,San Carlos Park,US,68.95,clear sky,26.4673,-81.8015,Embassy Suites by Hilton Fort Myers Estero
232,Makat,KZ,65.55,overcast clouds,47.6469,53.3463,Umit
234,Sao Filipe,CV,72.59,overcast clouds,14.8961,-24.4956,Hotel Xaguate
235,Abidjan,CI,84.16,few clouds,5.3094,-4.0197,ibis Abidjan Plateau
238,Hilo,US,68.61,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
242,Kontagora,NG,92.55,overcast clouds,10.3999,5.4695,Queens Guest Inn
243,Kindu,CD,77.65,overcast clouds,-2.95,25.95,Résidence Okanda
244,Vredendal,ZA,87.15,clear sky,-31.6683,18.5012,Tharrakamma Guest House
252,Gemena,CD,74.34,light rain,3.25,19.7667,Hôtel Goshen
254,Tibati,CM,91.24,broken clouds,6.4667,12.6333,Tibati Hotel
257,Nabire,ID,79.54,moderate rain,-3.3667,135.4833,Hotel Nusantara I
259,Dingle,PH,81.41,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
260,Laje,BR,70.72,broken clouds,-10.1833,-40.9667,NN Pousada
263,Vao,NC,74.8,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
268,Pingdu,CN,75.13,few clouds,36.7844,119.9464,Dongfang Hotel
269,Wajid,SO,92.66,overcast clouds,3.8093,43.2471,xamdihotelresturant114
270,Kutum,SD,91.83,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
274,Ghanzi,BW,71.26,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
277,Faanui,PF,80.76,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
278,Monrovia,LR,82.17,overcast clouds,6.3005,-10.7969,Sunset Inn
279,Vieques,PR,76.08,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
280,Pingxiang,CN,76.1,overcast clouds,27.6167,113.85,Haiyuntian Hotel
283,Pochutla,MX,75.81,clear sky,15.7432,-96.4661,Hotel Posada San Jose
291,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,The Esplanade Hotel
292,Tonantins,BR,71.62,light rain,-2.8731,-67.8022,Hotel Hortensias
293,Ponta Do Sol,PT,66.7,broken clouds,32.6667,-17.1,Hotel do Campo
301,Kavaratti,IN,85.6,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
303,Kalmunai,LK,86.36,overcast clouds,7.4167,81.8167,VS Villa
306,Blackwater,AU,66.43,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
307,Champerico,GT,81.05,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
308,Kudahuvadhoo,MV,84.18,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
310,Kuchaman,IN,97.79,broken clouds,27.15,74.85,Hotel Kuchaman Fort
311,Kruisfontein,ZA,87.08,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
