City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Chuy,UY,2022-04-18 18:01:21,-33.6971,-53.4616,70.93,60,61,11.16
141,Georgetown,MY,2022-04-18 17:59:24,5.4112,100.3354,81.95,93,20,3.44
142,Mandera,KE,2022-04-18 18:01:23,3.9366,41.867,81.43,68,56,8.84
143,Kulhudhuffushi,MV,2022-04-18 18:01:24,6.6221,73.07,84.79,71,71,7.76
144,Tuktoyaktuk,CA,2022-04-18 18:01:25,69.4541,-133.0374,6.84,82,38,7.09
145,Arlit,NE,2022-04-18 18:01:25,18.7369,7.3853,88.54,7,66,6.96
146,Buala,SB,2022-04-18 18:01:26,-8.145,159.5921,79.97,81,95,5.86
147,Ayan,RU,2022-04-18 18:01:27,56.45,138.1667,27.36,95,88,0.65
148,Bethel,US,2022-04-18 18:01:27,41.3712,-73.414,56.17,46,100,5.99
149,Airai,TL,2022-04-18 18:01:28,-8.9266,125.4092,59.86,90,94,2.53
150,Clyde River,CA,2022-04-18 18:01:28,70.4692,-68.5914,-1.7,80,100,1.12
151,Kruisfontein,ZA,2022-04-18 18:01:29,-34.0033,24.7314,60.89,86,46,4.41
152,College,US,2022-04-18 18:01:30,64.8569,-147.8028,32.79,38,6,3.31
153,Karratha,AU,2022-04-18 18:01:30,-20.7377,116.8463,83.66,41,10,10.92
154,Ananas,HT,2022-04-18 18:01:31,19.2466,-71.9557,83.7,48,99,14.88
155,Kapaa,US,2022-04-18 18:01:31,22.0752,-159.319,75.18,74,64,5.01
156,Aksarka,RU,2022-04-18 18:01:32,66.5606,67.7975,23.68,90,100,10.6
157,Hasaki,JP,2022-04-18 18:01:33,35.7333,140.8333,52.2,80,100,19.46
158,Coquimbo,CL,2022-04-18 18:01:33,-29.9533,-71.3436,61.75,74,21,7.67
159,Freeport,US,2022-04-18 18:01:34,40.6576,-73.5832,51.49,54,0,17.27
160,Wad Rawah,SD,2022-04-18 18:01:34,15.1603,33.1397,100.13,11,64,7.67
161,Tiksi,RU,2022-04-18 18:01:35,71.6872,128.8694,3.36,100,100,3.31
162,Huntingdon,GB,2022-04-18 18:01:36,52.3305,-0.1865,57.02,70,100,3.69
163,Aykhal,RU,2022-04-18 18:01:36,66.0,111.5,7.7,94,100,25.9
164,Yerbogachen,RU,2022-04-18 18:01:37,61.2767,108.0108,18.61,87,96,13.4
165,North Bend,US,2022-04-18 18:00:23,43.4065,-124.2243,56.16,100,100,1.01
166,Lavrentiya,RU,2022-04-18 18:01:38,65.5833,-171.0,27.95,90,100,8.52
167,Severo-Kurilsk,RU,2022-04-18 18:01:39,50.6789,156.125,29.64,88,90,5.61
168,Samfya,ZM,2022-04-18 18:01:39,-11.3649,29.5565,67.64,88,68,6.69
169,Vao,NC,2022-04-18 18:01:40,-22.6667,167.4833,76.28,71,100,2.68
170,Guadalupe Y Calvo,MX,2022-04-18 18:01:41,26.1,-106.9667,80.76,8,99,8.14
171,Hobyo,SO,2022-04-18 18:01:41,5.3505,48.5268,83.88,80,14,14.03
172,Pimentel,PE,2022-04-18 18:01:42,-6.8367,-79.9342,70.75,75,20,15.68
173,Hengshui,CN,2022-04-18 18:00:34,37.7322,115.7011,53.96,45,0,7.83
174,Sertanopolis,BR,2022-04-18 18:01:43,-23.0586,-51.0364,76.77,51,11,5.97
175,Sao Joao Da Ponte,BR,2022-04-18 18:01:44,-15.9292,-44.0078,76.59,56,83,8.66
176,Anadyr,RU,2022-04-18 18:01:44,64.75,177.4833,30.0,86,100,13.0
177,At-Bashi,KG,2022-04-18 18:01:45,41.1702,75.8106,51.37,37,23,7.81
178,Acapulco,MX,2022-04-18 18:01:45,16.8634,-99.8901,86.45,48,73,8.46
179,Luderitz,NA,2022-04-18 18:01:46,-26.6481,15.1594,75.45,42,2,9.42
180,Port Lincoln,AU,2022-04-18 18:00:25,-34.7333,135.8667,58.44,66,44,11.21
181,Juegang,CN,2022-04-18 18:01:47,32.3174,121.1855,55.9,74,83,7.47
182,Bredasdorp,ZA,2022-04-18 18:01:47,-34.5322,20.0403,60.93,91,49,7.9
183,Cidreira,BR,2022-04-18 18:01:48,-30.1811,-50.2056,70.93,65,86,12.57
184,Longyearbyen,SJ,2022-04-18 18:02:59,78.2186,15.6401,15.64,73,20,2.3
185,Pacifica,US,2022-04-18 18:03:00,37.6138,-122.4869,64.63,63,75,6.91
186,Kahului,US,2022-04-18 18:03:00,20.8947,-156.47,77.02,70,20,16.11
187,Pangnirtung,CA,2022-04-18 18:03:01,66.1451,-65.7125,-3.96,85,100,7.72
188,Ibra,OM,2022-04-18 18:03:01,22.6906,58.5334,82.81,32,15,2.53
189,Sorland,NO,2022-04-18 18:03:02,67.667,12.6934,42.66,89,100,5.06
190,Port Hardy,CA,2022-04-18 18:03:03,50.6996,-127.4199,41.43,91,100,18.54
