City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Clyde River,CA,70.4692,-68.5914,-0.17,85,100,14.97,overcast clouds
150,Cherskiy,RU,68.75,161.3,19.63,91,100,3.69,overcast clouds
151,Hasaki,JP,35.7333,140.8333,64.29,85,100,16.62,moderate rain
152,Aklavik,CA,68.2191,-135.0107,-5.73,100,100,5.23,overcast clouds
153,Tezpur,IN,26.6333,92.8,90.19,42,1,3.91,clear sky
154,Gat,IL,31.61,34.7642,75.4,40,0,14.58,clear sky
155,Bambous Virieux,MU,-20.3428,57.7575,81.21,75,95,10.78,overcast clouds
156,Maceio,BR,-9.6658,-35.7353,74.64,88,40,4.61,scattered clouds
157,Pimentel,PE,-6.8367,-79.9342,66.18,88,100,12.3,overcast clouds
158,Fortuna,US,40.5982,-124.1573,46.74,92,75,11.5,broken clouds
159,Touros,BR,-5.1989,-35.4608,78.15,83,64,9.51,broken clouds
160,Avera,US,33.194,-82.5271,53.65,85,100,6.06,overcast clouds
161,Mazara Del Vallo,IT,37.6641,12.588,71.92,63,100,34.2,overcast clouds
162,Cabo San Lucas,MX,22.8909,-109.9124,70.52,73,0,7.92,clear sky
163,Alofi,NU,-19.0595,-169.9187,80.96,76,100,14.99,light rain
164,Caravelas,BR,-17.7125,-39.2481,75.24,78,14,4.81,few clouds
165,Ilulissat,GL,69.2167,-51.1,30.22,51,75,13.8,light snow
166,Gannan,CN,47.9147,123.5031,49.37,27,100,10.87,overcast clouds
167,Khovu-Aksy,RU,51.1333,93.6,43.97,50,99,6.02,overcast clouds
168,Ponta Delgada,PT,37.7333,-25.6667,57.92,77,75,4.61,broken clouds
169,Paamiut,GL,61.994,-49.6678,31.98,84,100,47.56,snow
170,Smirnykh,RU,49.75,142.8333,37.42,100,97,5.19,overcast clouds
171,Malanje,AO,-9.5402,16.341,71.37,83,100,6.4,light rain
172,Kamenka,RU,51.3223,42.7678,56.84,39,0,9.46,clear sky
173,Lumby,CA,50.2498,-118.969,43.05,71,100,1.72,overcast clouds
174,Mitsamiouli,KM,-11.3847,43.2844,83.79,76,85,14.83,light rain
175,Nouadhibou,MR,20.931,-17.0347,65.68,67,63,16.44,broken clouds
176,Bendigo,AU,-36.7667,144.2833,53.85,52,6,1.99,clear sky
177,Kaduna,NG,10.5222,7.4383,92.28,39,46,3.24,scattered clouds
178,Hofn,IS,64.2539,-15.2082,47.08,83,100,6.55,overcast clouds
179,Minna,NG,9.6139,6.5569,93.25,41,30,4.0,scattered clouds
180,Korla,CN,41.7597,86.1469,78.73,11,89,13.27,overcast clouds
181,Tessalit,ML,20.1986,1.0114,94.55,4,0,11.97,clear sky
182,Waipawa,NZ,-41.4122,175.5153,63.09,79,71,9.71,moderate rain
183,Kununurra,AU,-15.7667,128.7333,82.38,57,56,0.0,broken clouds
184,Chapais,CA,49.7834,-74.8492,28.06,82,100,11.48,overcast clouds
185,Cockburn Town,TC,21.4612,-71.1419,76.69,78,100,19.91,overcast clouds
186,Port Moresby,PG,-9.4431,147.1797,79.75,85,98,6.2,overcast clouds
187,Wadi Musa,JO,30.3222,35.4793,69.71,22,0,1.7,clear sky
188,Burnie,AU,-41.0667,145.9167,48.94,66,1,7.99,clear sky
189,Hithadhoo,MV,-0.6,73.0833,84.34,66,46,8.59,scattered clouds
190,Makakilo City,US,21.3469,-158.0858,71.92,80,0,9.22,light rain
191,Sola,VU,-13.8833,167.55,82.67,75,27,11.18,scattered clouds
192,Nkowakowa,ZA,-23.8878,30.2871,63.79,81,100,1.19,overcast clouds
193,Lisala,CD,2.15,21.5167,79.63,70,100,3.04,overcast clouds
194,Narsaq,GL,60.9167,-46.05,43.02,81,100,7.4,overcast clouds
195,Nador,MA,35.174,-2.9287,64.65,55,20,19.57,few clouds
196,Pangnirtung,CA,66.1451,-65.7125,12.97,92,100,3.96,overcast clouds
197,Kamaishi,JP,39.2667,141.8833,53.17,95,99,7.52,overcast clouds
198,Bodri,IN,23.1667,81.4333,104.31,10,68,8.32,broken clouds
199,Harper,LR,4.375,-7.7169,85.26,71,91,8.77,overcast clouds
200,Onega,RU,63.9061,38.1404,41.92,66,21,3.06,few clouds
201,Margate,GB,51.3813,1.3862,60.12,74,77,1.99,broken clouds
202,Nago,JP,26.5881,127.9761,72.45,88,33,4.61,scattered clouds
203,Namatanai,PG,-3.6667,152.4333,81.52,77,50,10.74,scattered clouds
204,Poya,NC,-21.35,165.15,71.91,80,10,6.15,clear sky
205,Cabedelo,BR,-6.9811,-34.8339,77.67,76,71,8.05,broken clouds
206,Katsuura,JP,35.1333,140.3,62.96,89,100,14.83,moderate rain
207,Buchanan,LR,5.8808,-10.0467,80.82,81,100,7.23,overcast clouds
208,Samaipata,BO,-18.15,-63.8667,51.49,97,100,2.33,overcast clouds
209,Eureka,US,40.8021,-124.1637,47.68,79,65,4.0,broken clouds
210,Lasa,IT,46.6166,10.7002,49.69,86,76,4.09,broken clouds
211,Grindavik,IS,63.8424,-22.4338,48.67,81,75,6.91,broken clouds
212,Itarema,BR,-2.9248,-39.9167,76.84,90,59,9.04,broken clouds
213,Vila Velha,BR,-20.3297,-40.2925,70.95,88,0,2.3,clear sky
214,Lorengau,PG,-2.0226,147.2712,82.53,74,43,9.4,scattered clouds
215,Brigantine,US,39.4101,-74.3646,48.0,93,68,9.73,broken clouds
216,Boddam,GB,57.4667,-1.7833,56.43,82,76,11.36,broken clouds
217,Iquitos,PE,-3.7481,-73.2472,73.44,94,100,4.61,overcast clouds
218,Port Augusta,AU,-32.5,137.7667,63.93,62,37,12.84,scattered clouds
219,Ayan,RU,56.45,138.1667,27.36,86,39,4.14,scattered clouds
220,Kattivakkam,IN,13.2167,80.3167,95.09,74,99,16.78,overcast clouds
221,Zhengjiatun,CN,43.5064,123.5064,61.34,66,77,18.05,heavy intensity rain
222,Nova Aurora,BR,-22.8667,-52.5667,63.84,87,4,4.81,clear sky
223,Luanda,AO,-8.8368,13.2343,81.57,70,100,5.03,overcast clouds
224,Nola,IT,40.922,14.5329,74.39,40,100,6.2,overcast clouds
225,Mareeba,AU,-17.0,145.4333,73.44,94,97,2.77,overcast clouds
226,Baloda,IN,22.15,82.4833,109.69,9,6,2.28,clear sky
227,Saint George,US,37.1041,-113.5841,65.25,30,0,12.66,clear sky
228,Padang,ID,-0.9492,100.3543,86.05,72,86,3.51,overcast clouds
229,Murgab,TM,37.4966,61.9714,78.98,26,0,7.52,clear sky
230,Andenes,NO,69.3143,16.1194,44.58,76,75,14.97,broken clouds
231,San Carlos Park,US,26.4673,-81.8015,68.95,82,0,10.36,clear sky
232,Makat,KZ,47.6469,53.3463,65.55,43,100,4.38,overcast clouds
233,Teya,RU,60.3778,92.6267,38.35,97,99,3.09,light rain
234,Sao Filipe,CV,14.8961,-24.4956,72.59,77,94,6.35,overcast clouds
235,Abidjan,CI,5.3094,-4.0197,84.16,84,20,12.66,few clouds
236,Saint-Francois,FR,46.4154,3.9054,60.24,67,0,3.44,clear sky
237,Lavrentiya,RU,65.5833,-171.0,12.94,94,17,6.78,few clouds
238,Hilo,US,19.7297,-155.09,68.61,91,0,5.75,clear sky
239,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,37.33,99,100,5.08,overcast clouds
240,Dubbo,AU,-32.25,148.6167,57.33,77,99,9.22,overcast clouds
241,Lagoa,PT,39.05,-27.9833,56.12,64,79,16.53,broken clouds
242,Kontagora,NG,10.3999,5.4695,92.55,42,92,3.85,overcast clouds
243,Kindu,CD,-2.95,25.95,77.65,71,100,2.51,overcast clouds
244,Vredendal,ZA,-31.6683,18.5012,87.15,22,1,9.8,clear sky
245,Cota,CO,4.8094,-74.098,53.58,94,75,3.44,light rain
246,Kodiak,US,57.79,-152.4072,35.11,80,100,3.44,overcast clouds
247,Tamsweg,AT,47.1281,13.811,52.48,65,42,5.59,scattered clouds
248,Abu Samrah,SY,35.3029,37.1841,71.26,29,0,7.96,clear sky
249,Masvingo,ZW,-20.0637,30.8277,60.04,96,100,5.75,light rain
250,Saldanha,ZA,-33.0117,17.9442,62.15,85,32,12.64,scattered clouds
251,Pangody,RU,65.85,74.4859,14.22,91,100,17.6,light snow
252,Gemena,CD,3.25,19.7667,74.34,93,100,3.29,light rain
253,Pyatnitskoye,RU,50.4233,37.8273,53.44,49,14,9.8,few clouds
254,Tibati,CM,6.4667,12.6333,91.24,34,73,2.68,broken clouds
255,Vallenar,CL,-28.5708,-70.7581,56.62,67,0,0.78,clear sky
256,Saint-Louis,SN,16.3333,-15.0,92.28,14,38,15.12,scattered clouds
257,Nabire,ID,-3.3667,135.4833,79.54,87,100,2.21,moderate rain
258,Barth,DE,54.3635,12.7249,54.09,54,81,15.61,broken clouds
259,Dingle,PH,10.9995,122.6711,81.41,80,81,7.56,broken clouds
260,Laje,BR,-10.1833,-40.9667,70.72,87,72,8.93,broken clouds
261,Portland,US,45.5234,-122.6762,47.79,92,100,9.22,overcast clouds
262,Pontiac,US,42.6389,-83.2911,50.83,89,100,10.36,overcast clouds
263,Vao,NC,-22.6667,167.4833,74.8,62,0,5.88,clear sky
264,Morros,BR,-9.4467,-46.3003,72.52,79,26,6.15,scattered clouds
265,Beloha,MG,-25.1667,45.05,79.95,63,90,18.21,overcast clouds
266,Khor,RU,47.8861,134.9464,64.53,39,100,10.02,overcast clouds
267,Ust-Kalmanka,RU,52.1207,83.305,51.71,89,100,17.45,heavy intensity rain
268,Pingdu,CN,36.7844,119.9464,75.13,41,11,14.76,few clouds
269,Wajid,SO,3.8093,43.2471,92.66,33,97,2.06,overcast clouds
270,Kutum,SD,14.2,24.6667,91.83,10,72,9.17,broken clouds
271,Ust-Ishim,RU,57.6935,71.1665,31.39,84,100,12.12,light snow
272,Leningradskiy,RU,69.3833,178.4167,12.04,96,82,4.14,broken clouds
273,Onguday,RU,50.75,86.15,52.48,57,100,8.25,light rain
274,Ghanzi,BW,-21.5667,21.7833,71.26,42,3,11.39,clear sky
275,La Ronge,CA,55.1001,-105.2842,18.86,96,28,3.44,scattered clouds
276,Thunder Bay,CA,48.4001,-89.3168,34.29,92,100,7.7,overcast clouds
277,Faanui,PF,-16.4833,-151.75,80.76,72,5,9.08,light rain
278,Monrovia,LR,6.3005,-10.7969,82.17,76,93,5.32,overcast clouds
279,Vieques,PR,18.425,-65.8329,76.08,78,40,4.61,scattered clouds
280,Pingxiang,CN,27.6167,113.85,76.1,67,100,2.44,overcast clouds
